sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
162,2026-07-30T11:41:26Z,1785411686501285274,168,11808,11948,17,201,31097,324087529,200,196,196,448255600,353848
163,2026-07-30T11:41:27Z,1785411687535354672,169,11808,11948,17,201,31276,324088296,200,196,196,448255600,353848
164,2026-07-30T11:41:28Z,1785411688568546125,170,11584,11948,17,154,31460,324089070,200,196,196,448255600,353848
165,2026-07-30T11:41:29Z,1785411689602911601,171,11584,11948,17,154,31640,324089850,200,196,196,448255600,353848
166,2026-07-30T11:41:30Z,1785411690638524285,172,11584,11948,17,154,31823,324090623,200,196,196,448255600,353848
167,2026-07-30T11:41:31Z,1785411691672521810,173,11584,11948,17,154,32003,324091395,200,196,196,448255600,353848
168,2026-07-30T11:41:32Z,1785411692704883920,174,11584,11948,17,154,32188,324092158,200,196,196,448255600,353848
169,2026-07-30T11:41:33Z,1785411693738465281,175,11628,11948,17,155,32369,324092925,200,196,196,448255600,353848
170,2026-07-30T11:41:34Z,1785411694772979853,176,11628,11948,17,155,32553,324093693,200,196,196,448255600,353848
171,2026-07-30T11:41:35Z,1785411695809493559,177,11628,11948,17,155,32739,324094465,200,196,196,448255600,353848
172,2026-07-30T11:41:36Z,1785411696842717592,178,11628,11948,17,155,32928,324095229,200,196,196,448255600,353848
173,2026-07-30T11:41:37Z,1785411697877369695,179,11628,11948,17,155,33117,324096002,200,196,196,448255600,353848
174,2026-07-30T11:41:38Z,1785411698910590829,180,11628,11948,17,155,33298,324096773,200,196,196,448255600,353848
175,2026-07-30T11:41:39Z,1785411699943792628,181,11628,11948,17,155,33482,324097541,200,196,196,448255600,353848
176,2026-07-30T11:41:40Z,1785411700977317635,182,11628,11948,17,155,33663,324098312,200,196,196,448255600,353848
177,2026-07-30T11:41:42Z,1785411702021251899,184,11628,11948,17,155,33847,324099090,200,196,196,448255600,353850
178,2026-07-30T11:41:43Z,1785411703054859378,185,11732,11948,17,167,34040,324099856,200,196,196,448255600,353850
179,2026-07-30T11:41:44Z,1785411704101551412,186,11732,11948,17,167,34233,324100629,200,196,196,448255600,353856
180,2026-07-30T11:41:45Z,1785411705135931320,187,11944,11948,17,201,34438,324101408,200,196,196,448255600,353856
181,2026-07-30T11:41:46Z,1785411706171293677,188,11944,11972,17,201,34639,324102185,200,196,196,448255600,353856
182,2026-07-30T11:41:47Z,1785411707205503985,189,12064,11948,17,201,34841,324102970,200,196,196,448255600,353856
183,2026-07-30T11:41:48Z,1785411708239500014,190,11944,11948,17,201,35044,324103749,200,196,196,448255600,353856
184,2026-07-30T11:41:49Z,1785411709272782592,191,11944,11948,17,201,35247,324104517,200,196,196,448255600,353856
185,2026-07-30T11:41:50Z,1785411710306810145,192,11944,11948,17,201,35450,324105292,200,196,196,448255600,353856
186,2026-07-30T11:41:51Z,1785411711340788979,193,11948,11948,17,201,35645,324106060,200,196,196,448255600,353856
