sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
467,2026-07-30T11:30:29Z,1785411029745373877,482,6664,6896,5,165,81802,323591840,200,196,196,448255598,353820
468,2026-07-30T11:30:30Z,1785411030778123818,483,6692,6896,5,165,81977,323592615,200,196,196,448255598,353820
469,2026-07-30T11:30:31Z,1785411031823645781,484,6664,6896,5,166,82155,323593395,200,196,196,448255598,353820
470,2026-07-30T11:30:32Z,1785411032856591347,485,6680,6896,5,167,82349,323594178,200,196,196,448255598,353820
471,2026-07-30T11:30:33Z,1785411033887963886,486,6680,6896,5,167,82537,323594953,200,196,196,448255598,353820
472,2026-07-30T11:30:34Z,1785411034921723597,487,6680,6896,5,167,82726,323595731,200,196,196,448255598,353820
473,2026-07-30T11:30:35Z,1785411035954683580,488,6680,6896,5,167,82917,323596505,200,196,196,448255598,353820
474,2026-07-30T11:30:36Z,1785411036987690462,489,6680,6896,5,167,83106,323597284,200,196,196,448255598,353820
475,2026-07-30T11:30:38Z,1785411038021044483,491,6744,6896,5,167,83297,323598057,200,196,196,448255598,353820
476,2026-07-30T11:30:39Z,1785411039053307474,492,6444,6896,5,108,83488,323598837,200,196,196,448255598,353820
477,2026-07-30T11:30:40Z,1785411040087209080,493,6444,6896,5,108,83678,323599610,200,196,196,448255598,353820
478,2026-07-30T11:30:41Z,1785411041121665306,494,6444,6896,5,108,83869,323600377,200,196,196,448255598,353820
479,2026-07-30T11:30:42Z,1785411042154803505,495,6444,6896,5,108,84057,323601149,200,196,196,448255598,353820
480,2026-07-30T11:30:43Z,1785411043188735812,496,6420,6896,5,107,84246,323601913,200,196,196,448255598,353820
481,2026-07-30T11:30:44Z,1785411044221696508,497,6420,6896,5,107,84438,323602687,200,196,196,448255598,353820
482,2026-07-30T11:30:45Z,1785411045253882556,498,6484,6896,5,107,84627,323603462,200,196,196,448255598,353820
483,2026-07-30T11:30:46Z,1785411046286536040,499,6420,6896,5,107,84821,323604237,200,196,196,448255598,353820
484,2026-07-30T11:30:47Z,1785411047319706472,500,6420,6896,5,107,85013,323605008,200,196,196,448255598,353820
485,2026-07-30T11:30:48Z,1785411048353569655,501,6420,6896,5,107,85204,323605779,200,196,196,448255598,353820
486,2026-07-30T11:30:49Z,1785411049386109402,502,6420,6896,5,107,85395,323606555,200,196,196,448255598,353820
487,2026-07-30T11:30:50Z,1785411050418012616,503,6420,6896,5,107,85586,323607335,200,196,196,448255598,353820
488,2026-07-30T11:30:51Z,1785411051451659885,504,6420,6896,5,107,85779,323608110,200,196,196,448255598,353820
