sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,stats_curl_exit,stats_bytes,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
266,2026-08-04T05:01:07Z,1785819667799294440,267,4652,4652,4,18,1835,4587311,200,0,380,0,0,461,974
267,2026-08-04T05:01:08Z,1785819668803367016,268,4652,4652,4,18,1842,4588111,200,0,380,0,0,461,975
268,2026-08-04T05:01:09Z,1785819669807429013,269,4652,4652,4,18,1850,4588907,200,0,380,0,0,461,976
269,2026-08-04T05:01:10Z,1785819670811591036,270,4652,4652,4,18,1858,4589706,200,0,380,0,0,461,977
270,2026-08-04T05:01:11Z,1785819671815480526,271,4652,4652,4,18,1865,4590504,200,0,380,0,0,461,977
271,2026-08-04T05:01:12Z,1785819672820451193,272,4652,4652,4,18,1873,4591301,200,0,380,0,0,461,978
272,2026-08-04T05:01:13Z,1785819673823489922,273,4652,4652,4,18,1881,4592097,200,0,380,0,0,461,978
273,2026-08-04T05:01:14Z,1785819674829200375,274,4652,4652,4,18,1888,4592892,200,0,380,0,0,461,979
274,2026-08-04T05:01:15Z,1785819675832071286,275,4652,4652,4,18,1896,4593691,200,0,380,0,0,461,979
275,2026-08-04T05:01:16Z,1785819676835279500,276,4652,4652,4,18,1903,4594487,200,0,380,0,0,461,979
276,2026-08-04T05:01:17Z,1785819677839268604,277,4652,4652,4,18,1910,4595285,200,0,380,0,0,461,980
277,2026-08-04T05:01:18Z,1785819678843818870,278,4652,4652,4,18,1918,4596085,200,0,380,0,0,461,981
278,2026-08-04T05:01:19Z,1785819679847038889,279,4652,4652,4,18,1926,4596882,200,0,380,0,0,461,981
279,2026-08-04T05:01:20Z,1785819680851564204,280,4652,4652,4,18,1933,4597680,200,0,380,0,0,461,981
280,2026-08-04T05:01:21Z,1785819681854546260,281,4652,4652,4,18,1941,4598478,200,0,380,0,0,461,982
281,2026-08-04T05:01:22Z,1785819682858958498,282,4652,4652,4,18,1949,4599275,200,0,380,0,0,461,982
282,2026-08-04T05:01:23Z,1785819683862848574,283,4652,4652,4,18,1956,4600072,200,0,380,0,0,461,982
283,2026-08-04T05:01:24Z,1785819684867182479,284,4652,4652,4,18,1963,4600868,200,0,380,0,0,461,983
