sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
636,2026-07-30T12:05:47Z,1785413147079464586,657,6576,6808,5,124,112278,325191799,200,196,196,448255602,360902
637,2026-07-30T12:05:48Z,1785413148112903564,658,6576,6808,5,124,112458,325192589,200,196,196,448255602,360908
638,2026-07-30T12:05:49Z,1785413149145234469,659,6576,6808,5,124,112632,325193383,200,196,196,448255602,360915
639,2026-07-30T12:05:50Z,1785413150175967987,660,6576,6808,5,124,112804,325194176,000,196,196,448255602,360921
640,2026-07-30T12:05:51Z,1785413151207613796,661,6576,6808,5,124,112976,325194971,200,196,196,448255602,360927
641,2026-07-30T12:05:52Z,1785413152239874867,662,6576,6808,5,124,113149,325195752,200,196,196,448255602,360940
642,2026-07-30T12:05:53Z,1785413153272012599,663,6588,6808,5,124,113323,325196531,200,196,196,448255602,360949
643,2026-07-30T12:05:54Z,1785413154304228222,664,6576,6808,5,124,113500,325197309,200,196,196,448255602,360964
644,2026-07-30T12:05:55Z,1785413155335956505,665,6576,6808,5,124,113674,325198101,200,196,196,448255602,360975
645,2026-07-30T12:05:56Z,1785413156367305479,666,6576,6808,5,124,113849,325198890,200,196,196,448255602,360987
646,2026-07-30T12:05:57Z,1785413157399715045,667,6576,6808,5,124,114021,325199682,200,196,196,448255602,360998
647,2026-07-30T12:05:58Z,1785413158432885452,668,6576,6808,5,124,114196,325200476,200,196,196,448255602,361008
648,2026-07-30T12:05:59Z,1785413159466784389,669,6748,6808,5,167,114379,325201250,200,196,196,448255602,361020
649,2026-07-30T12:06:00Z,1785413160499927294,670,6748,6808,5,167,114557,325202035,200,196,196,448255602,361027
650,2026-07-30T12:06:01Z,1785413161532950367,671,6748,6808,5,167,114738,325202826,200,196,196,448255602,361035
651,2026-07-30T12:06:02Z,1785413162567425935,672,6748,6808,5,167,114917,325203607,200,196,196,448255602,361041
652,2026-07-30T12:06:03Z,1785413163599851427,673,6752,6808,5,167,115094,325204395,200,196,196,448255602,361047
653,2026-07-30T12:06:04Z,1785413164630407552,674,6748,6808,5,167,115271,325205179,200,196,196,448255602,361055
